t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.002,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.000
2.057,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.033,-0.000,0.000,0.000
2.108,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.063,-0.000,0.000,0.000
2.161,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.095,-0.000,0.000,0.000
2.213,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.127,-0.000,0.000,0.000
2.268,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.159,-0.000,0.000,0.000
2.320,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.190,-0.000,0.000,0.000
2.371,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.221,-0.000,0.000,0.000
2.424,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.253,-0.000,0.000,0.000
2.479,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.286,-0.000,0.000,0.000
2.534,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.319,-0.000,0.000,0.000
2.585,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.349,-0.000,0.000,0.000
2.636,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.380,-0.000,0.000,0.000
2.691,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.413,-0.000,0.000,0.000
2.741,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.443,-0.000,0.000,0.000
2.792,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.474,-0.000,0.000,0.000
2.846,takeoff,0.000,0.000,0.074,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.506,-0.000,0.000,0.000
2.896,takeoff,0.000,0.000,0.074,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.536,-0.000,0.000,0.000
2.950,takeoff,0.000,0.000,0.074,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.568,-0.000,0.000,0.000
3.000,takeoff,0.000,0.000,0.074,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.598,-0.000,0.000,0.000
3.051,takeoff,0.000,0.000,0.074,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.629,-0.000,0.000,0.000
3.101,takeoff,0.000,0.000,0.074,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.659,-0.000,0.000,0.000
3.153,takeoff,0.000,0.000,0.074,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.690,-0.000,0.000,0.000
3.208,takeoff,0.000,0.000,0.074,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.723,-0.000,0.000,0.000
3.261,takeoff,0.000,0.000,0.074,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.755,-0.000,0.000,0.000
3.316,takeoff,0.000,0.000,0.074,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.788,-0.000,0.000,0.000
3.368,takeoff,0.000,0.000,0.074,0.000,0.000,0.005,0.000,0.000,0.075,0.00,-0.00,0.00,0.00,-0.00,0.800,-0.000,0.000,0.000
3.421,takeoff,0.000,0.000,0.078,0.000,0.000,0.090,0.000,0.000,0.078,0.00,-0.00,0.00,0.00,-0.00,0.799,-0.000,0.000,0.000
3.472,takeoff,0.000,0.000,0.078,0.000,0.000,0.090,0.000,0.000,0.085,0.00,-0.00,0.00,0.00,-0.00,0.800,-0.000,0.000,0.000
3.525,takeoff,0.000,0.000,0.095,0.000,0.000,0.236,0.000,0.000,0.095,0.00,-0.00,0.00,0.00,-0.00,0.794,-0.000,0.000,0.000
3.575,takeoff,0.000,0.000,0.095,0.000,0.000,0.236,0.000,0.000,0.109,0.00,-0.00,0.00,0.00,-0.00,0.793,-0.000,0.000,0.000
3.626,takeoff,0.000,0.000,0.126,0.000,0.000,0.382,0.000,0.000,0.127,0.00,-0.00,0.00,0.00,-0.00,0.786,-0.000,0.000,0.000
3.681,takeoff,0.000,0.000,0.126,0.000,0.000,0.382,0.000,0.000,0.148,0.00,-0.00,0.00,0.00,-0.00,0.783,-0.000,0.000,0.000
3.732,takeoff,0.000,0.000,0.171,0.000,0.000,0.519,0.000,0.000,0.173,0.00,-0.00,0.00,0.00,-0.00,0.777,-0.000,0.000,0.000
3.783,takeoff,0.000,0.000,0.171,0.000,0.000,0.519,0.000,0.000,0.202,0.00,-0.00,0.00,0.00,-0.00,0.774,-0.000,0.000,0.000
3.835,takeoff,0.000,0.000,0.229,0.000,0.000,0.643,0.000,0.000,0.233,0.00,-0.00,0.00,0.00,-0.00,0.767,-0.000,0.000,0.000
3.887,takeoff,0.000,0.000,0.229,0.000,0.000,0.643,0.000,0.000,0.268,0.00,-0.00,0.00,0.00,-0.00,0.765,-0.000,0.000,0.000
3.941,takeoff,0.000,0.000,0.299,0.000,0.000,0.753,0.000,0.000,0.305,0.00,-0.00,0.00,0.00,-0.00,0.759,-0.000,0.000,0.000
3.994,takeoff,0.000,0.000,0.299,0.000,0.000,0.753,0.000,0.000,0.345,0.00,-0.00,0.00,0.00,-0.00,0.756,-0.000,0.000,0.000
4.046,takeoff,0.000,0.000,0.380,0.000,0.000,0.849,0.000,0.000,0.388,0.00,-0.00,0.00,-0.00,-0.00,0.751,-0.000,0.000,0.000
4.097,takeoff,0.000,0.000,0.380,0.000,0.000,0.849,0.000,0.000,0.433,0.00,-0.00,0.00,-0.00,-0.00,0.749,-0.000,0.000,0.000
4.150,takeoff,0.000,0.000,0.469,0.000,0.000,0.933,0.000,0.000,0.496,0.00,-0.00,0.00,-0.00,-0.00,0.744,-0.000,0.000,0.000
4.204,takeoff,0.000,0.000,0.469,0.000,0.000,0.933,0.000,0.000,0.546,0.00,-0.00,0.00,-0.00,-0.00,0.742,-0.000,0.000,0.000
4.256,takeoff,0.000,0.000,0.566,0.000,0.000,1.004,0.000,0.000,0.597,0.00,-0.00,0.00,-0.00,-0.00,0.737,-0.000,0.000,0.000
4.307,takeoff,0.000,0.000,0.566,0.000,0.000,1.004,0.000,0.000,0.650,0.00,-0.00,0.00,-0.00,-0.00,0.735,-0.000,0.000,0.000
4.361,takeoff,0.000,0.000,0.669,0.000,0.000,1.065,0.000,0.000,0.705,0.00,-0.00,0.00,-0.00,-0.00,0.732,-0.000,0.000,0.000
4.411,takeoff,0.000,0.000,0.669,0.000,0.000,1.065,0.000,0.000,0.761,0.00,-0.00,0.00,-0.00,-0.00,0.730,-0.000,0.000,0.000
4.463,takeoff,0.000,0.000,0.778,0.000,0.000,1.116,0.000,0.000,0.818,0.00,-0.00,0.00,-0.00,-0.00,0.727,-0.000,0.000,0.000
4.514,takeoff,0.000,0.000,0.778,0.000,0.000,1.116,0.000,0.000,0.876,0.00,-0.00,0.00,-0.00,-0.00,0.725,-0.000,0.000,0.000
4.567,takeoff,0.000,0.000,0.893,0.000,0.000,1.164,0.000,0.000,0.936,0.00,-0.00,0.00,-0.00,-0.00,0.722,-0.000,0.000,0.000
4.620,takeoff,0.000,0.000,0.893,0.000,0.000,1.164,0.000,0.000,0.997,0.00,-0.00,0.00,-0.00,-0.00,0.721,-0.000,0.000,0.000
4.672,takeoff,0.000,0.000,1.011,0.000,0.000,1.203,0.000,0.000,1.058,0.00,-0.00,0.00,-0.00,-0.00,0.718,-0.000,0.000,0.000
4.723,takeoff,0.000,0.000,1.133,0.000,0.000,1.235,0.000,0.000,1.121,0.00,-0.00,0.00,-0.00,-0.00,0.715,-0.000,0.000,0.000
4.774,takeoff,0.000,0.000,1.133,0.000,0.000,1.235,0.000,0.000,1.184,0.00,-0.00,0.00,-0.00,-0.00,0.714,-0.000,0.000,0.000
4.826,takeoff,0.000,0.000,1.258,0.000,0.000,1.260,0.000,0.000,1.248,0.00,-0.00,0.00,-0.00,-0.00,0.712,-0.000,0.000,0.000
4.880,takeoff,0.000,0.000,1.258,0.000,0.000,1.260,0.000,0.000,1.312,0.00,-0.00,0.00,-0.00,-0.00,0.711,-0.000,0.000,0.000
4.931,takeoff,0.000,0.000,1.385,0.000,0.000,1.278,0.000,0.000,1.399,0.00,-0.00,0.00,-0.00,-0.00,0.709,-0.000,0.000,0.000
4.984,takeoff,0.000,0.000,1.385,0.000,0.000,1.278,0.000,0.000,1.464,0.00,-0.00,0.00,-0.00,-0.00,0.708,-0.000,0.000,0.000
5.036,takeoff,0.000,0.000,1.513,0.000,0.000,1.291,0.000,0.000,1.530,0.00,-0.00,0.00,-0.00,-0.00,0.707,-0.000,0.000,0.000
5.087,takeoff,0.000,0.000,1.513,0.000,0.000,1.291,0.000,0.000,1.596,0.00,-0.00,0.00,-0.00,-0.00,0.706,-0.000,0.000,0.000
5.137,takeoff,0.000,0.000,1.643,0.000,-0.000,1.301,0.000,0.000,1.662,0.00,-0.00,0.00,-0.00,-0.00,0.705,-0.000,0.000,0.000
5.192,takeoff,0.000,0.000,1.643,0.000,-0.000,1.301,0.000,0.000,1.729,0.00,-0.00,0.00,-0.00,-0.00,0.705,-0.000,0.000,0.000
