t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.001,creep,0.000,0.001,0.102,0.000,0.000,0.001,0.000,0.001,0.102,0.00,-0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.000
2.023,creep,0.000,0.001,0.102,0.000,0.000,0.001,0.000,0.001,0.102,0.00,-0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.000
2.048,creep,0.000,0.001,0.102,0.000,0.000,0.001,0.000,0.001,0.102,0.00,-0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.000
2.072,creep,0.000,0.001,0.102,0.000,0.000,0.001,0.000,0.001,0.102,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.092,creep,0.000,0.001,0.102,0.000,0.000,0.001,0.000,0.001,0.102,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.117,creep,0.000,0.001,0.102,0.000,0.000,0.001,0.000,0.001,0.102,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.139,creep,0.000,0.001,0.102,0.000,0.000,0.001,0.000,0.001,0.103,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.160,creep,0.000,0.001,0.102,0.000,0.000,0.001,0.000,0.001,0.103,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.181,creep,0.000,0.001,0.102,0.000,0.000,0.001,0.000,0.001,0.103,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.202,creep,0.000,0.001,0.102,0.000,0.000,0.001,0.000,0.001,0.103,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.227,creep,0.000,0.001,0.103,0.000,0.000,0.001,0.000,0.001,0.103,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
