t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.001,creep,0.000,0.001,0.086,0.000,0.000,0.001,0.000,0.001,0.086,0.00,-0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.000
2.024,creep,0.000,0.001,0.086,0.000,0.000,0.001,0.000,0.001,0.086,0.00,-0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.000
2.045,creep,0.000,0.001,0.086,0.000,0.000,0.001,0.000,0.001,0.086,0.00,-0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.000
2.070,creep,0.000,0.001,0.086,0.000,0.000,0.001,0.000,0.001,0.086,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.090,creep,0.000,0.001,0.086,0.000,0.000,0.001,0.000,0.001,0.086,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.110,creep,0.000,0.001,0.086,0.000,0.000,0.001,0.000,0.001,0.086,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.133,creep,0.000,0.001,0.086,0.000,0.000,0.001,0.000,0.001,0.086,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.154,creep,0.000,0.001,0.086,0.000,0.000,0.001,0.000,0.001,0.086,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.177,creep,0.000,0.001,0.086,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.198,creep,0.000,0.001,0.086,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.219,creep,0.000,0.001,0.086,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.241,creep,0.000,0.001,0.086,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.261,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.283,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.304,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.003,0.000,0.000,0.000
2.324,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.003,0.000,0.000,0.000
2.346,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.003,0.000,0.000,0.000
2.368,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.003,0.000,0.000,0.000
2.392,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.003,0.000,0.000,0.000
2.414,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.004,0.000,0.000,0.000
2.437,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.004,0.000,0.000,0.000
2.458,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.004,0.000,0.000,0.000
2.483,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.004,0.000,0.000,0.000
2.508,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.004,0.000,0.000,0.000
2.533,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.005,0.000,0.000,0.000
2.558,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.005,0.000,0.000,0.000
2.583,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.005,0.000,0.000,0.000
2.604,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.005,0.000,0.000,0.000
2.628,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.005,0.000,0.000,0.000
2.648,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.006,0.000,0.000,0.000
2.670,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.006,0.000,0.000,0.000
2.695,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.006,0.000,0.000,0.000
2.716,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.006,0.000,0.000,0.000
2.738,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.006,0.000,0.000,0.000
2.758,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.006,0.000,0.000,0.000
2.779,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.007,0.000,0.000,0.000
2.804,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.007,0.000,0.000,0.000
2.825,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.007,0.000,0.000,0.000
2.845,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.007,0.000,0.000,0.000
2.868,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.007,0.000,0.000,0.000
2.892,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.008,0.000,0.000,0.000
2.912,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.008,0.000,0.000,0.000
2.937,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.008,0.000,0.000,0.000
2.957,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.008,0.000,0.000,0.000
2.979,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.008,0.000,0.000,0.000
3.004,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.009,0.000,0.000,0.000
3.025,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.009,0.000,0.000,0.000
3.050,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.009,0.000,0.000,0.000
3.075,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.009,0.000,0.000,0.000
3.100,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.009,0.000,0.000,0.000
3.121,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.010,0.000,0.000,0.000
3.142,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.010,0.000,0.000,0.000
3.163,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.087,0.00,-0.00,0.00,0.00,-0.00,0.010,0.000,0.000,0.000
3.185,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.010,0.000,0.000,0.000
3.208,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.010,0.000,0.000,0.000
3.229,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.010,0.000,0.000,0.000
3.252,creep,0.000,0.001,0.087,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.011,0.000,0.000,0.000
3.276,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.011,0.000,0.000,0.000
3.298,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.011,0.000,0.000,0.000
3.318,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.011,0.000,0.000,0.000
3.343,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.011,0.000,0.000,0.000
3.363,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.012,0.000,0.000,0.000
3.383,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.012,0.000,0.000,0.000
3.406,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.012,0.000,0.000,0.000
3.427,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.012,0.000,0.000,0.000
3.448,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.012,0.000,0.000,0.000
3.471,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.013,0.000,0.000,0.000
3.492,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.013,0.000,0.000,0.000
3.512,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.013,0.000,0.000,0.000
3.537,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.013,0.000,0.000,0.000
3.560,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.013,0.000,0.000,0.000
3.581,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.013,0.000,0.000,0.000
3.606,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.014,0.000,0.000,0.000
3.626,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.014,0.000,0.000,0.000
3.650,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.014,0.000,0.000,0.000
3.671,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.014,0.000,0.000,0.000
3.696,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.014,0.000,0.000,0.000
3.717,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.015,0.000,0.000,0.000
3.737,creep,0.000,0.001,0.088,0.000,0.000,0.001,0.000,0.001,0.088,0.00,-0.00,0.00,0.00,-0.00,0.015,0.000,0.000,0.000
