t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.001,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.000
2.022,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.000
2.044,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.000
2.067,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.088,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.112,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.132,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.157,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.178,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.200,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.224,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.247,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.272,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.003,0.000,0.000,0.000
2.295,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.003,0.000,0.000,0.000
2.317,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.003,0.000,0.000,0.000
2.337,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.003,0.000,0.000,0.000
2.362,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.004,0.000,0.000,0.000
2.387,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.004,0.000,0.000,0.000
2.409,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.004,0.000,0.000,0.000
2.434,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.004,0.000,0.000,0.000
2.455,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.005,0.000,0.000,0.000
2.475,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.005,0.000,0.000,0.000
2.498,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.005,0.000,0.000,0.000
2.523,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.005,0.000,0.000,0.000
2.545,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.005,0.000,0.000,0.000
2.565,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.006,0.000,0.000,0.000
2.590,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.006,0.000,0.000,0.000
2.613,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.006,0.000,0.000,0.000
2.634,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.006,0.000,0.000,0.000
2.659,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.007,0.000,0.000,0.000
2.679,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.007,0.000,0.000,0.000
2.702,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.007,0.000,0.000,0.000
2.723,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.007,0.000,0.000,0.000
2.743,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.007,0.000,0.000,0.000
2.768,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.008,0.000,0.000,0.000
2.790,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.008,0.000,0.000,0.000
2.811,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.008,0.000,0.000,0.000
2.834,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.008,0.000,0.000,0.000
2.856,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.009,0.000,0.000,0.000
2.881,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.009,0.000,0.000,0.000
2.906,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.009,0.000,0.000,0.000
2.927,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.009,0.000,0.000,0.000
2.952,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.010,0.000,0.000,0.000
2.977,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.010,0.000,0.000,0.000
2.998,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.010,0.000,0.000,0.000
3.018,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.010,0.000,0.000,0.000
3.038,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.010,0.000,0.000,0.000
3.059,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.011,0.000,0.000,0.000
3.082,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.011,0.000,0.000,0.000
3.102,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.011,0.000,0.000,0.000
3.126,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.011,0.000,0.000,0.000
3.147,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.011,0.000,0.000,0.000
3.171,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.012,0.000,0.000,0.000
3.193,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.012,0.000,0.000,0.000
3.213,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.012,0.000,0.000,0.000
3.235,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.012,0.000,0.000,0.000
3.255,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.013,0.000,0.000,0.000
3.276,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.013,0.000,0.000,0.000
3.296,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.013,0.000,0.000,0.000
3.319,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.013,0.000,0.000,0.000
3.340,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.013,0.000,0.000,0.000
3.362,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.014,0.000,0.000,0.000
3.385,creep,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.014,0.000,0.000,0.000
3.406,creep,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.014,0.000,0.000,0.000
3.428,creep,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.014,0.000,0.000,0.000
3.451,creep,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.015,0.000,0.000,0.000
3.471,creep,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.015,0.000,0.000,0.000
3.496,creep,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.015,0.000,0.000,0.000
3.518,creep,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.015,0.000,0.000,0.000
3.540,creep,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.015,0.000,0.000,0.000
3.562,creep,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.016,0.000,0.000,0.000
3.584,creep,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.016,0.000,0.000,0.000
3.609,creep,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.016,0.000,0.000,0.000
