t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.001,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.000
2.024,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.000
2.044,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.000
2.069,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.090,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.110,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.130,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.150,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.171,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.192,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.213,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.234,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.255,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.003,0.000,0.000,0.000
2.277,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.003,0.000,0.000,0.000
2.301,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.003,0.000,0.000,0.000
2.321,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.003,0.000,0.000,0.000
2.346,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.003,0.000,0.000,0.000
2.370,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.004,0.000,0.000,0.000
2.392,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.004,0.000,0.000,0.000
2.413,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.004,0.000,0.000,0.000
2.434,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.004,0.000,0.000,0.000
2.454,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.005,0.000,0.000,0.000
2.479,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.005,0.000,0.000,0.000
2.499,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.005,0.000,0.000,0.000
2.519,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.005,0.000,0.000,0.000
2.540,creep,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.005,0.000,0.000,0.000
