t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.001,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.000,0.000,0.000,0.000
2.026,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.048,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.001,0.000,0.000,0.000
2.073,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.098,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.002,0.000,0.000,0.000
2.118,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.003,0.000,0.000,0.000
2.139,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.003,0.000,0.000,0.000
2.161,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.004,0.000,0.000,0.000
2.183,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.005,0.000,0.000,0.000
2.206,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.005,0.000,0.000,0.000
2.226,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.006,0.000,0.000,0.000
2.251,creep,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.006,0.000,0.000,0.000
