t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.009,takeoff,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.000
2.061,takeoff,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.032,-0.000,0.000,0.000
2.118,takeoff,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.065,-0.000,0.000,0.000
2.168,takeoff,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.096,-0.000,0.000,0.000
2.219,takeoff,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.126,-0.000,0.000,0.000
2.273,takeoff,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.158,-0.000,0.000,0.000
2.324,takeoff,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.189,-0.000,0.000,0.000
2.381,takeoff,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.223,-0.000,0.000,0.000
2.432,takeoff,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.254,-0.000,0.000,0.000
2.482,takeoff,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.284,-0.000,0.000,0.000
2.538,takeoff,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.318,-0.000,0.000,0.000
2.598,takeoff,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.353,-0.000,0.000,0.000
2.650,takeoff,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.385,-0.000,0.000,0.000
2.706,takeoff,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.419,-0.000,0.000,0.000
2.757,takeoff,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.449,-0.000,0.000,0.000
2.811,takeoff,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.482,-0.000,0.000,0.000
2.871,takeoff,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.089,0.00,-0.00,0.00,0.00,-0.00,0.517,-0.000,0.000,0.000
2.921,takeoff,0.000,0.001,0.089,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.548,-0.000,0.000,0.000
2.977,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.581,-0.000,0.000,0.000
3.035,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.616,-0.000,0.000,0.000
3.086,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.646,-0.000,0.000,0.000
3.142,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.680,-0.000,0.000,0.000
3.194,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.712,-0.000,0.000,0.000
3.251,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.746,-0.000,0.000,0.000
