t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.004,takeoff,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.000
2.057,takeoff,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.031,-0.000,0.000,0.000
2.107,takeoff,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.062,-0.000,0.000,0.000
2.158,takeoff,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.092,-0.000,0.000,0.000
2.209,takeoff,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.123,-0.000,0.000,0.000
2.262,takeoff,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.155,-0.000,0.000,0.000
2.313,takeoff,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.092,0.00,-0.00,0.00,0.00,-0.00,0.185,-0.000,0.000,0.000
2.364,takeoff,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.093,0.00,-0.00,0.00,0.00,-0.00,0.216,-0.000,0.000,0.000
2.414,takeoff,0.000,0.001,0.092,0.000,0.000,0.001,0.000,0.001,0.093,0.00,-0.00,0.00,0.00,-0.00,0.246,-0.000,0.000,0.000
2.466,takeoff,0.000,0.001,0.093,0.000,0.000,0.001,0.000,0.001,0.093,0.00,-0.00,0.00,0.00,-0.00,0.277,-0.000,0.000,0.000
2.517,takeoff,0.000,0.001,0.093,0.000,0.000,0.001,0.000,0.001,0.093,0.00,-0.00,0.00,0.00,-0.00,0.308,-0.000,0.000,0.000
2.572,takeoff,0.000,0.001,0.093,0.000,0.000,0.001,0.000,0.001,0.093,0.00,-0.00,0.00,0.00,-0.00,0.341,-0.000,0.000,0.000
2.623,takeoff,0.000,0.001,0.093,0.000,0.000,0.001,0.000,0.001,0.093,0.00,-0.00,0.00,0.00,-0.00,0.371,-0.000,0.000,0.000
2.674,takeoff,0.000,0.001,0.093,0.000,0.000,0.001,0.000,0.001,0.093,0.00,-0.00,0.00,0.00,-0.00,0.402,-0.000,0.000,0.000
