t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.005,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.000
2.059,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.032,-0.000,0.000,0.000
2.112,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.064,-0.000,0.000,0.000
2.165,takeoff,0.000,0.000,0.073,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.096,-0.000,0.000,0.000
2.216,takeoff,0.000,0.000,0.074,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.127,-0.000,0.000,0.000
2.266,takeoff,0.000,0.000,0.074,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.157,-0.000,0.000,0.000
2.317,takeoff,0.000,0.000,0.074,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.187,-0.000,0.000,0.000
2.367,takeoff,0.000,0.000,0.074,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.217,-0.000,0.000,0.000
2.421,takeoff,0.000,0.000,0.074,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.250,-0.000,0.000,0.000
2.476,takeoff,0.000,0.000,0.074,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.283,-0.000,0.000,0.000
2.526,takeoff,0.000,0.000,0.074,0.000,0.000,0.001,0.000,0.000,0.074,0.00,-0.00,0.00,0.00,-0.00,0.313,-0.000,0.000,0.000
