t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,stick_thr,stick_roll,stick_pitch,stick_yaw
2.004,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.000,-0.000,0.000,0.000
2.055,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.030,-0.000,0.000,0.000
2.106,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.061,-0.000,0.000,0.000
2.160,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.094,-0.000,0.000,0.000
2.212,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.125,-0.000,0.000,0.000
2.264,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.156,-0.000,0.000,0.000
2.316,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.187,-0.000,0.000,0.000
2.366,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.217,-0.000,0.000,0.000
2.421,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.250,-0.000,0.000,0.000
2.475,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.283,-0.000,0.000,0.000
2.526,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.313,-0.000,0.000,0.000
2.578,takeoff,0.000,0.000,0.072,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.344,-0.000,0.000,0.000
