t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.001,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.000
2.056,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.00,-0.00,0.033,-0.000,0.000,0.000
2.108,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.00,-0.00,0.064,-0.000,0.000,0.000
2.161,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.00,-0.00,0.096,-0.000,0.000,0.000
2.214,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.00,-0.00,0.128,-0.000,0.000,0.000
2.267,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.00,-0.00,0.159,-0.000,0.000,0.000
2.318,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.00,-0.00,0.190,-0.000,0.000,0.000
2.371,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.00,-0.00,0.222,-0.000,0.000,0.000
2.422,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.00,-0.00,0.253,-0.000,0.000,0.000
2.478,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.00,-0.00,0.286,-0.000,0.000,0.000
2.533,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.00,-0.00,0.319,-0.000,0.000,0.000
2.584,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.00,-0.00,0.349,-0.000,0.000,0.000
2.635,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.00,-0.00,0.380,-0.000,0.000,0.000
2.687,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.00,-0.00,0.411,-0.000,0.000,0.000
2.737,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.00,-0.00,0.441,-0.000,0.000,0.000
2.788,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.00,-0.00,0.472,-0.000,0.000,0.000
2.840,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.00,-0.00,0.503,-0.000,0.000,0.000
2.895,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.00,-0.00,0.536,-0.000,0.000,0.000
2.946,takeoff,0.000,0.000,0.080,0.000,0.000,0.001,0.000,0.000,0.080,0.00,-0.00,0.00,0.00,-0.00,0.567,-0.000,0.000,0.000
