t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,stick_thr,stick_roll,stick_pitch,stick_yaw
2.005,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.000,-0.000,0.000,0.000
2.056,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.030,-0.000,0.000,0.000
2.109,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.062,-0.000,0.000,0.000
2.163,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.095,-0.000,0.000,0.000
2.217,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.127,-0.000,0.000,0.000
2.272,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.160,-0.000,0.000,0.000
2.324,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.191,-0.000,0.000,0.000
2.375,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.067,0.00,-0.00,0.00,0.222,-0.000,0.000,0.000
2.425,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.068,0.00,-0.00,0.00,0.252,-0.000,0.000,0.000
2.476,takeoff,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.000,0.068,0.00,-0.00,0.00,0.282,-0.000,0.000,0.000
2.529,takeoff,0.000,0.000,0.068,0.000,0.000,0.001,0.000,0.000,0.068,0.00,-0.00,0.00,0.314,-0.000,0.000,0.000
2.583,takeoff,0.000,0.000,0.068,0.000,0.000,0.001,0.000,0.000,0.068,0.00,-0.00,0.00,0.347,-0.000,0.000,0.000
2.638,takeoff,0.000,0.000,0.068,0.000,0.000,0.001,0.000,0.000,0.068,0.00,-0.00,0.00,0.380,-0.000,0.000,0.000
2.688,takeoff,0.000,0.000,0.068,0.000,0.000,0.001,0.000,0.000,0.068,0.00,-0.00,0.00,0.410,-0.000,0.000,0.000
2.739,takeoff,0.000,0.000,0.068,0.000,0.000,0.001,0.000,0.000,0.068,0.00,-0.00,0.00,0.440,-0.000,0.000,0.000
2.790,takeoff,0.000,0.000,0.068,0.000,0.000,0.001,0.000,0.000,0.068,0.00,-0.00,0.00,0.471,-0.000,0.000,0.000
2.841,takeoff,0.000,0.000,0.068,0.000,0.000,0.001,0.000,0.000,0.068,0.00,-0.00,0.00,0.501,-0.000,0.000,0.000
2.891,takeoff,0.000,0.000,0.068,0.000,0.000,0.001,0.000,0.000,0.068,0.00,-0.00,0.00,0.532,-0.000,0.000,0.000
2.944,takeoff,0.000,0.000,0.068,0.000,0.000,0.001,0.000,0.000,0.068,0.00,-0.00,0.00,0.563,-0.000,0.000,0.000
2.998,takeoff,0.000,0.000,0.068,0.000,0.000,0.001,0.000,0.000,0.068,0.00,-0.00,0.00,0.596,-0.000,0.000,0.000
3.051,takeoff,0.000,0.000,0.068,0.000,0.000,0.001,0.000,0.000,0.068,0.00,-0.00,0.00,0.627,-0.000,0.000,0.000
3.105,takeoff,0.000,0.000,0.068,0.000,0.000,0.001,0.000,0.000,0.068,0.00,-0.00,0.00,0.660,-0.000,0.000,0.000
3.157,takeoff,0.000,0.000,0.068,0.000,0.000,0.001,0.000,0.000,0.068,0.00,-0.00,0.00,0.691,-0.000,0.000,0.000
3.208,takeoff,0.000,0.000,0.068,0.000,0.000,0.001,0.000,0.000,0.068,0.00,-0.00,0.00,0.722,-0.000,0.000,0.000
3.261,takeoff,0.000,0.000,0.068,0.000,0.000,0.001,0.000,0.000,0.068,0.00,-0.00,0.00,0.754,-0.000,0.000,0.000
3.312,takeoff,0.000,0.000,0.068,0.000,0.000,0.002,0.000,0.000,0.068,0.00,-0.00,0.00,0.784,-0.000,0.000,0.000
3.362,takeoff,0.000,0.000,0.068,0.000,0.000,0.002,0.000,0.000,0.069,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.413,takeoff,0.000,0.000,0.070,0.000,0.000,0.044,0.000,0.000,0.070,0.00,-0.00,0.00,0.798,-0.000,0.000,0.000
3.463,takeoff,0.000,0.000,0.070,0.000,0.000,0.044,0.000,0.000,0.075,0.00,-0.00,0.00,0.797,-0.000,0.000,0.000
3.518,takeoff,0.000,0.000,0.081,0.000,0.000,0.170,0.000,0.000,0.082,0.00,-0.00,0.00,0.790,-0.000,0.000,0.000
3.570,takeoff,0.000,0.000,0.081,0.000,0.000,0.170,0.000,0.000,0.093,0.00,-0.00,0.00,0.786,-0.000,0.000,0.000
3.620,takeoff,0.000,0.000,0.105,0.000,0.000,0.312,0.000,0.000,0.108,0.00,-0.00,0.00,0.778,-0.000,0.000,0.000
3.671,takeoff,0.000,0.000,0.105,0.000,0.000,0.312,0.000,0.000,0.127,0.00,-0.00,0.00,0.773,-0.000,0.000,0.000
3.722,takeoff,0.000,0.000,0.143,0.000,0.000,0.441,0.000,0.000,0.149,0.00,-0.00,0.00,0.765,-0.000,0.000,0.000
3.774,takeoff,0.000,0.000,0.143,0.000,0.000,0.441,0.000,0.000,0.173,0.00,-0.00,0.00,0.760,-0.000,0.000,0.000
3.825,takeoff,0.000,0.000,0.193,0.000,0.000,0.552,0.000,0.000,0.201,0.00,-0.00,0.00,0.753,-0.000,0.000,0.000
3.878,takeoff,0.000,0.000,0.193,0.000,0.000,0.552,0.000,0.000,0.231,0.00,-0.00,0.00,0.749,-0.000,0.000,0.000
3.932,takeoff,0.000,0.000,0.253,0.000,0.000,0.643,0.000,0.000,0.264,0.00,-0.00,0.00,0.742,-0.000,0.000,0.000
3.983,takeoff,0.000,0.000,0.253,0.000,0.000,0.643,0.000,0.000,0.298,0.00,-0.00,0.00,0.739,-0.000,0.000,0.000
4.034,takeoff,0.000,0.000,0.321,0.000,0.000,0.719,0.000,0.000,0.334,0.00,-0.00,0.00,0.734,-0.000,0.000,0.000
4.089,takeoff,0.000,0.000,0.321,0.000,0.000,0.719,0.000,0.000,0.373,0.00,-0.00,0.00,0.731,-0.000,0.000,0.000
4.140,takeoff,0.000,0.000,0.396,0.000,0.000,0.785,0.000,0.000,0.413,0.00,-0.00,0.00,0.726,-0.000,0.000,0.000
4.195,takeoff,0.000,0.000,0.396,0.000,0.000,0.785,0.000,0.000,0.468,0.00,-0.00,0.00,0.724,-0.000,0.000,0.000
4.250,takeoff,0.000,0.000,0.477,0.000,0.000,0.836,0.000,0.000,0.511,0.00,-0.00,0.00,0.720,-0.000,0.000,0.000
4.303,takeoff,0.000,0.000,0.477,0.000,0.000,0.836,0.000,0.000,0.555,0.00,-0.00,0.00,0.718,-0.000,0.000,0.000
4.357,takeoff,0.000,0.000,0.563,0.000,0.000,0.876,0.000,0.000,0.600,0.00,-0.00,0.00,0.715,-0.000,0.000,0.000
4.407,takeoff,0.000,0.000,0.652,0.000,0.000,0.906,0.000,0.000,0.646,0.00,-0.00,0.00,0.710,-0.000,0.000,0.000
4.457,takeoff,0.000,0.000,0.652,0.000,0.000,0.906,0.000,0.000,0.692,0.00,-0.00,0.00,0.708,-0.000,0.000,0.000
4.509,takeoff,0.000,0.000,0.744,0.000,0.000,0.926,0.000,0.000,0.739,0.00,-0.00,0.00,0.703,-0.000,0.000,0.000
