t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.004,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.000
2.056,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.00,-0.00,0.031,-0.000,0.000,0.000
2.107,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.00,-0.00,0.062,-0.000,0.000,0.000
2.160,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.00,-0.00,0.094,-0.000,0.000,0.000
2.212,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.00,-0.00,0.125,-0.000,0.000,0.000
2.270,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.00,-0.00,0.160,-0.000,0.000,0.000
2.326,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.00,-0.00,0.193,-0.000,0.000,0.000
2.378,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.00,-0.00,0.225,-0.000,0.000,0.000
2.429,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.00,-0.00,0.255,-0.000,0.000,0.000
2.481,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.00,-0.00,0.286,-0.000,0.000,0.000
2.535,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.00,-0.00,0.318,-0.000,0.000,0.000
2.586,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.070,0.00,-0.00,0.00,0.00,-0.00,0.349,-0.000,0.000,0.000
2.638,takeoff,0.000,0.000,0.070,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.380,-0.000,0.000,0.000
2.688,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.411,-0.000,0.000,0.000
2.739,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.441,-0.000,0.000,0.000
2.798,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.476,-0.000,0.000,0.000
2.850,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.507,-0.000,0.000,0.000
2.902,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.539,-0.000,0.000,0.000
2.955,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.571,-0.000,0.000,0.000
3.007,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.602,-0.000,0.000,0.000
3.064,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.636,-0.000,0.000,0.000
3.117,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.668,-0.000,0.000,0.000
3.168,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.699,-0.000,0.000,0.000
3.222,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.731,-0.000,0.000,0.000
3.274,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.762,-0.000,0.000,0.000
3.325,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.071,0.00,-0.00,0.00,0.00,-0.00,0.793,-0.000,0.000,0.000
3.376,takeoff,0.000,0.000,0.071,0.000,0.000,0.001,0.000,0.000,0.072,0.00,-0.00,0.00,0.00,-0.00,0.800,-0.000,0.000,0.000
3.426,takeoff,0.000,0.000,0.072,0.000,0.000,0.028,0.000,0.000,0.073,0.00,-0.00,0.00,0.00,-0.00,0.800,-0.000,0.000,0.000
3.476,takeoff,0.000,0.000,0.072,0.000,0.000,0.028,0.000,0.000,0.076,0.00,-0.00,0.00,0.00,-0.00,0.800,-0.000,0.000,0.000
3.531,takeoff,0.000,0.000,0.079,0.000,0.000,0.128,0.000,0.000,0.083,0.00,-0.00,0.00,0.00,-0.00,0.796,-0.000,0.000,0.000
3.582,takeoff,0.000,0.000,0.079,0.000,0.000,0.128,0.000,0.000,0.093,0.00,-0.00,0.00,0.00,-0.00,0.796,-0.000,0.000,0.000
3.634,takeoff,0.000,0.000,0.099,0.000,0.000,0.275,0.000,0.000,0.107,0.00,-0.00,0.00,0.00,-0.00,0.790,-0.000,0.000,0.000
3.686,takeoff,0.000,0.000,0.099,0.000,0.000,0.275,0.000,0.000,0.124,0.00,-0.00,0.00,0.00,-0.00,0.788,-0.000,0.000,0.000
3.741,takeoff,0.000,0.000,0.134,0.000,0.000,0.420,0.000,0.000,0.154,0.00,-0.00,0.00,0.00,-0.00,0.782,-0.000,0.000,0.000
3.792,takeoff,0.000,0.000,0.134,0.000,0.000,0.420,0.000,0.000,0.179,0.00,-0.00,0.00,0.00,-0.00,0.779,-0.000,0.000,0.000
3.846,takeoff,0.000,0.000,0.183,0.000,0.000,0.556,0.000,0.000,0.209,0.00,-0.00,0.00,0.00,-0.00,0.772,-0.000,0.000,0.000
3.897,takeoff,0.000,0.000,0.183,0.000,0.000,0.556,0.000,0.000,0.241,0.00,-0.00,0.00,0.00,-0.00,0.770,-0.000,0.000,0.000
3.949,takeoff,0.000,0.000,0.245,0.000,0.000,0.682,0.000,0.000,0.277,0.00,-0.00,0.00,0.00,-0.00,0.763,-0.000,0.000,0.000
4.003,takeoff,0.000,0.000,0.319,0.000,0.000,0.795,0.000,0.000,0.316,0.00,-0.00,0.00,0.00,-0.00,0.754,-0.000,0.000,0.000
4.053,takeoff,0.000,0.000,0.319,0.000,0.000,0.795,0.000,0.000,0.358,0.00,-0.00,0.00,-0.00,-0.00,0.751,-0.000,0.000,0.000
4.104,takeoff,0.000,0.000,0.404,0.000,0.000,0.896,0.000,0.000,0.402,0.00,-0.00,0.00,-0.00,-0.00,0.744,-0.000,0.000,0.000
4.155,takeoff,0.000,0.000,0.404,0.000,0.000,0.896,0.000,0.000,0.449,0.00,-0.00,0.00,-0.00,-0.00,0.742,-0.000,0.000,0.000
