t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,stick_thr,stick_roll,stick_pitch,stick_yaw
2.000,takeoff,0.000,0.000,0.076,0.000,0.000,0.001,0.000,0.000,0.076,0.00,-0.00,0.00,0.000,-0.000,0.000,0.000
2.052,takeoff,0.000,0.000,0.076,0.000,0.000,0.001,0.000,0.000,0.076,0.00,-0.00,0.00,0.031,-0.000,0.000,0.000
2.106,takeoff,0.000,0.000,0.076,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.063,-0.000,0.000,0.000
2.157,takeoff,0.000,0.000,0.076,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.094,-0.000,0.000,0.000
2.208,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.125,-0.000,0.000,0.000
2.258,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.155,-0.000,0.000,0.000
2.313,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.187,-0.000,0.000,0.000
2.364,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.218,-0.000,0.000,0.000
2.418,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.251,-0.000,0.000,0.000
2.469,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.281,-0.000,0.000,0.000
2.519,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.311,-0.000,0.000,0.000
2.572,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.343,-0.000,0.000,0.000
2.622,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.373,-0.000,0.000,0.000
2.673,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.404,-0.000,0.000,0.000
2.727,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.436,-0.000,0.000,0.000
2.777,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.466,-0.000,0.000,0.000
2.829,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.497,-0.000,0.000,0.000
2.879,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.527,-0.000,0.000,0.000
2.934,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.560,-0.000,0.000,0.000
2.985,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.591,-0.000,0.000,0.000
3.037,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.077,0.00,-0.00,0.00,0.622,-0.000,0.000,0.000
3.089,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.078,0.00,-0.00,0.00,0.653,-0.000,0.000,0.000
3.144,takeoff,0.000,0.000,0.077,0.000,0.000,0.001,0.000,0.000,0.078,0.00,-0.00,0.00,0.686,-0.000,0.000,0.000
3.195,takeoff,0.000,0.000,0.078,0.000,0.000,0.001,0.000,0.000,0.078,0.00,-0.00,0.00,0.717,-0.000,0.000,0.000
3.245,takeoff,0.000,0.000,0.078,0.000,0.000,0.001,0.000,0.000,0.078,0.00,-0.00,0.00,0.747,-0.000,0.000,0.000
3.297,takeoff,0.000,0.000,0.078,0.000,0.000,0.001,0.000,0.000,0.078,0.00,-0.00,0.00,0.778,-0.000,0.000,0.000
3.350,takeoff,0.000,0.000,0.078,0.000,0.000,0.001,0.000,0.000,0.078,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.405,takeoff,0.000,0.000,0.079,0.000,0.000,0.028,0.000,0.000,0.079,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.455,takeoff,0.000,0.000,0.079,0.000,0.000,0.028,0.000,0.000,0.083,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.509,takeoff,0.000,0.000,0.087,0.000,0.000,0.143,0.000,0.000,0.089,0.00,-0.00,0.00,0.795,-0.000,0.000,0.000
3.561,takeoff,0.000,0.000,0.087,0.000,0.000,0.143,0.000,0.000,0.100,0.00,-0.00,0.00,0.795,-0.000,0.000,0.000
3.611,takeoff,0.000,0.000,0.109,0.000,-0.000,0.289,0.000,0.000,0.114,0.00,-0.00,0.00,0.789,-0.000,0.000,0.000
3.661,takeoff,0.000,0.000,0.109,0.000,-0.000,0.289,0.000,0.000,0.132,0.00,-0.00,0.00,0.787,-0.000,0.000,0.000
3.712,takeoff,0.000,0.000,0.145,0.000,-0.000,0.428,0.000,0.000,0.153,0.00,-0.00,0.00,0.780,-0.000,0.000,0.000
3.763,takeoff,0.000,0.000,0.145,0.000,-0.000,0.428,0.000,0.000,0.178,0.00,-0.00,0.00,0.778,-0.000,0.000,0.000
3.815,takeoff,0.000,0.000,0.194,0.000,-0.000,0.556,0.000,0.000,0.207,0.00,-0.00,0.00,0.771,-0.000,0.000,0.000
3.866,takeoff,0.000,0.000,0.194,0.000,-0.000,0.556,0.000,0.000,0.238,0.00,-0.00,0.00,0.769,-0.000,0.000,0.000
3.917,takeoff,0.000,0.000,0.256,0.000,-0.000,0.672,0.000,0.000,0.272,0.00,-0.00,0.00,0.763,-0.000,0.000,0.000
3.967,takeoff,0.000,0.000,0.256,0.000,-0.000,0.672,0.000,0.000,0.309,0.00,-0.00,0.00,0.760,-0.000,0.000,0.000
4.018,takeoff,0.000,0.000,0.328,0.000,-0.000,0.773,0.000,0.000,0.348,0.00,-0.00,0.00,0.754,-0.000,0.000,0.000
4.069,takeoff,0.000,0.000,0.328,0.000,-0.000,0.773,0.000,0.000,0.390,0.00,-0.00,0.00,0.752,-0.000,0.000,0.000
4.121,takeoff,0.000,0.000,0.410,0.000,-0.000,0.861,0.000,0.000,0.434,0.00,-0.00,0.00,0.747,0.000,0.000,0.000
4.171,takeoff,0.000,0.000,0.410,0.000,-0.000,0.861,0.000,0.000,0.480,0.00,-0.00,0.00,0.745,0.000,0.000,0.000
4.222,takeoff,0.000,0.000,0.500,0.000,-0.000,0.937,0.000,0.000,0.528,0.00,-0.00,0.00,0.741,0.000,0.000,0.000
4.277,takeoff,0.000,0.000,0.597,0.000,-0.000,1.004,0.000,0.000,0.595,0.00,-0.00,0.00,0.735,0.000,0.000,0.000
4.328,takeoff,0.000,0.000,0.597,0.000,-0.000,1.004,0.000,0.000,0.647,0.00,-0.00,0.00,0.732,0.000,0.000,0.000
4.380,takeoff,0.000,0.000,0.701,0.000,-0.000,1.066,0.000,0.000,0.701,0.00,-0.00,0.00,0.725,0.000,0.000,0.000
4.433,takeoff,0.000,0.000,0.701,0.000,-0.000,1.066,0.000,0.000,0.756,0.00,-0.00,0.00,0.723,0.000,0.000,0.000
4.483,takeoff,0.000,0.000,0.810,0.000,-0.000,1.112,0.000,0.000,0.812,0.00,-0.00,0.00,0.716,0.000,0.000,0.000
4.533,takeoff,0.000,0.000,0.810,0.000,-0.000,1.112,0.000,0.000,0.869,0.00,-0.00,0.00,0.714,0.000,0.000,0.000
4.585,takeoff,0.000,0.000,0.923,0.000,-0.001,1.142,0.000,0.000,0.927,0.00,-0.00,0.00,0.708,0.000,0.000,0.000
4.636,takeoff,0.000,0.000,0.923,0.000,-0.001,1.142,0.000,0.000,0.986,0.00,-0.00,0.00,0.707,0.000,0.000,0.000
4.691,takeoff,0.000,0.000,1.038,0.000,-0.001,1.160,0.000,0.000,1.045,0.00,-0.00,0.00,0.701,0.000,0.000,0.000
4.745,takeoff,0.000,0.000,1.038,0.000,-0.001,1.160,0.000,0.000,1.104,0.00,-0.00,0.00,0.700,0.000,0.000,0.000
4.800,takeoff,0.000,0.000,1.154,0.000,-0.001,1.165,0.000,0.000,1.164,0.00,-0.00,0.00,0.695,0.000,0.000,0.000
4.851,takeoff,0.000,0.000,1.154,0.000,-0.001,1.165,0.000,0.000,1.223,0.00,-0.00,0.00,0.694,0.000,0.000,0.000
