t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,stick_thr,stick_roll,stick_pitch,stick_yaw
2.001,takeoff,0.000,0.000,0.078,0.000,0.000,0.001,0.000,0.000,0.078,0.00,-0.00,0.00,0.000,-0.000,0.000,0.000
2.051,takeoff,0.000,0.000,0.078,0.000,0.000,0.001,0.000,0.000,0.078,0.00,-0.00,0.00,0.030,-0.000,0.000,0.000
2.103,takeoff,0.000,0.000,0.078,0.000,0.000,0.001,0.000,0.000,0.078,0.00,-0.00,0.00,0.061,-0.000,0.000,0.000
2.158,takeoff,0.000,0.000,0.078,0.000,0.000,0.001,0.000,0.000,0.078,0.00,-0.00,0.00,0.094,-0.000,0.000,0.000
2.212,takeoff,0.000,0.000,0.078,0.000,0.000,0.001,0.000,0.000,0.078,0.00,-0.00,0.00,0.126,-0.000,0.000,0.000
2.264,takeoff,0.000,0.000,0.078,0.000,0.000,0.001,0.000,0.000,0.078,0.00,-0.00,0.00,0.158,-0.000,0.000,0.000
2.317,takeoff,0.000,0.000,0.078,0.000,0.000,0.001,0.000,0.000,0.078,0.00,-0.00,0.00,0.190,-0.000,0.000,0.000
2.368,takeoff,0.000,0.000,0.078,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.220,-0.000,0.000,0.000
2.419,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.251,-0.000,0.000,0.000
2.472,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.283,-0.000,0.000,0.000
2.527,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.316,-0.000,0.000,0.000
2.577,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.346,-0.000,0.000,0.000
2.628,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.376,-0.000,0.000,0.000
2.683,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.409,-0.000,0.000,0.000
2.733,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.439,-0.000,0.000,0.000
2.787,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.472,-0.000,0.000,0.000
2.838,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.502,-0.000,0.000,0.000
2.891,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.534,-0.000,0.000,0.000
2.943,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.565,-0.000,0.000,0.000
2.996,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.597,-0.000,0.000,0.000
3.048,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.628,-0.000,0.000,0.000
3.100,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.660,-0.000,0.000,0.000
3.156,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.693,-0.000,0.000,0.000
3.206,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.723,-0.000,0.000,0.000
3.259,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.755,-0.000,0.000,0.000
3.310,takeoff,0.000,0.000,0.079,0.000,0.000,0.001,0.000,0.000,0.079,0.00,-0.00,0.00,0.786,-0.000,0.000,0.000
3.364,takeoff,0.000,0.000,0.080,0.000,0.000,0.005,0.000,0.000,0.080,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.417,takeoff,0.000,0.000,0.080,0.000,0.000,0.005,0.000,0.000,0.081,0.00,-0.00,0.00,0.800,-0.000,0.000,0.000
3.471,takeoff,0.000,0.000,0.082,0.000,0.000,0.062,0.000,0.000,0.087,0.00,-0.00,0.00,0.799,-0.000,0.000,0.000
3.523,takeoff,0.000,0.000,0.095,0.000,0.000,0.195,0.000,0.000,0.095,0.00,-0.00,0.00,0.794,-0.000,0.000,0.000
3.576,takeoff,0.000,0.000,0.095,0.000,0.000,0.195,0.000,0.000,0.107,0.00,-0.00,0.00,0.793,-0.000,0.000,0.000
3.627,takeoff,0.000,0.000,0.122,0.000,0.000,0.340,0.000,0.000,0.123,0.00,-0.00,0.00,0.785,-0.000,0.000,0.000
3.677,takeoff,0.000,0.000,0.122,0.000,0.000,0.340,0.000,0.000,0.142,0.00,-0.00,0.00,0.783,-0.000,0.000,0.000
3.730,takeoff,0.000,0.000,0.163,0.000,0.000,0.475,0.000,0.000,0.165,0.00,-0.00,0.00,0.775,-0.000,0.000,0.000
3.783,takeoff,0.000,0.000,0.163,0.000,0.000,0.475,0.000,0.000,0.191,0.00,-0.00,0.00,0.772,-0.000,0.000,0.000
3.836,takeoff,0.000,0.000,0.216,0.000,0.000,0.595,0.000,0.000,0.220,0.00,-0.00,0.00,0.764,-0.000,0.000,0.000
3.886,takeoff,0.000,0.000,0.216,0.000,0.000,0.595,0.000,0.000,0.253,0.00,-0.00,0.00,0.762,-0.000,0.000,0.000
3.938,takeoff,0.000,0.000,0.281,0.000,0.000,0.704,0.000,0.000,0.288,0.00,-0.00,0.00,0.753,-0.000,0.000,0.000
3.992,takeoff,0.000,0.000,0.281,0.000,0.000,0.704,0.000,0.000,0.325,0.00,-0.00,0.00,0.751,-0.000,0.000,0.000
4.047,takeoff,0.000,0.000,0.357,0.000,0.000,0.805,0.000,0.000,0.366,0.00,-0.00,0.00,0.742,-0.000,0.000,0.000
4.099,takeoff,0.000,0.000,0.357,0.000,0.000,0.805,0.000,0.000,0.423,0.00,-0.00,0.00,0.740,-0.000,0.000,0.000
4.151,takeoff,0.000,0.000,0.442,0.000,0.000,0.889,0.000,0.000,0.469,0.00,-0.00,0.00,0.732,-0.000,0.000,0.000
4.202,takeoff,0.000,0.000,0.442,0.000,0.000,0.889,0.000,0.000,0.516,0.00,-0.00,0.00,0.730,-0.000,0.000,0.000
4.257,takeoff,0.000,0.000,0.534,0.000,0.000,0.958,0.000,0.000,0.565,0.00,-0.00,0.00,0.722,-0.000,0.000,0.000
4.311,takeoff,0.000,0.000,0.534,0.000,0.000,0.958,0.000,0.000,0.616,0.00,-0.00,0.00,0.720,-0.000,0.000,0.000
4.366,takeoff,0.000,0.000,0.633,0.000,0.000,1.008,0.000,0.000,0.667,0.00,-0.00,0.00,0.713,-0.000,0.000,0.000
4.417,takeoff,0.000,0.000,0.633,0.000,0.000,1.008,0.000,0.000,0.720,0.00,-0.00,0.00,0.711,-0.000,0.000,0.000
