t,phase,nav_n,nav_e,nav_alt,nav_vn,nav_ve,nav_climb,truth_n,truth_e,truth_alt,fc_roll,fc_pitch,fc_yaw,true_roll,true_pitch,stick_thr,stick_roll,stick_pitch,stick_yaw
2.005,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.000,-0.000,0.000,0.000
2.057,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.031,-0.000,0.000,0.000
2.109,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.062,-0.000,0.000,0.000
2.162,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.094,-0.000,0.000,0.000
2.216,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.127,-0.000,0.000,0.000
2.267,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.157,-0.000,0.000,0.000
2.317,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.187,-0.000,0.000,0.000
2.367,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.217,-0.000,0.000,0.000
2.417,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.247,-0.000,0.000,0.000
2.469,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.278,-0.000,0.000,0.000
2.519,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.309,-0.000,0.000,0.000
2.574,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.342,-0.000,0.000,0.000
2.629,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.090,0.00,-0.00,0.00,0.00,-0.00,0.374,-0.000,0.000,0.000
2.680,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.405,-0.000,0.000,0.000
2.735,takeoff,0.000,0.001,0.090,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.438,-0.000,0.000,0.000
2.787,takeoff,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.469,-0.000,0.000,0.000
2.840,takeoff,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.501,-0.000,0.000,0.000
2.892,takeoff,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.532,-0.000,0.000,0.000
2.946,takeoff,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.565,-0.000,0.000,0.000
2.997,takeoff,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.595,-0.000,0.000,0.000
3.051,takeoff,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.628,-0.000,0.000,0.000
3.102,takeoff,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.658,-0.000,0.000,0.000
3.157,takeoff,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.691,-0.000,0.000,0.000
3.211,takeoff,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.723,-0.000,0.000,0.000
3.266,takeoff,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.756,-0.000,0.000,0.000
3.318,takeoff,0.000,0.001,0.091,0.000,0.000,0.001,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.788,-0.000,0.000,0.000
3.368,takeoff,0.000,0.001,0.092,0.000,0.000,0.015,0.000,0.001,0.091,0.00,-0.00,0.00,0.00,-0.00,0.800,-0.000,0.000,0.000
3.420,takeoff,0.000,0.001,0.092,0.000,0.000,0.015,0.000,0.001,0.093,0.00,-0.00,0.00,0.00,-0.00,0.800,-0.000,0.000,0.000
